FilePath|Title|Author|Originator|Revision Number|Creation Time|Part Number|Material|Designer|Mass|TotalMass|PRODHIERARCHY|MATGROUP|MATERIALTYPE|MATDESC1|MATDESC2|MATDESC3|EXTMATGROUP|TITLE1|TITLE2|TITLE3|RAD1|RAD2|RAD3|TECHDESC|ALLViewScales|CLASSIFICATION|DATE CREATED|PaperSIZE|REVISIONCURRENT|LAB_OFFICE|UNIT_OF_MEASURE|Description|NETWEIGHT|DRAWNDATE|HDMATWT
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Crossbeam protection\AX00-100016854.ipt|AX00-100016854|manhensesi|not_found|Revision Number doest not exist|5/13/2019 12:00:00 AM|AX00-100016854|Hardox 450|manhensesi|12017.9723368201|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|WEAR PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|444 x 294 x 12|not_found|not_found|not_found|444 x 294 x 12|not_found|RESTRICTED|2019-05-13|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|12,0 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Crossbeam protection\MM0370647.ipt|Flat|MANPIETRLU|not_found|Revision Number doest not exist|1/27/2012 12:00:00 AM|MM0370647|S235JRG2|MANPIETRLU|1588.57254933645|TotalMass doest not exist|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|420 x 50 x 10|not_found|not_found|not_found|420 x 50 x 10|not_found|RESTRICTED|2012-01-27|not_found|01|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|1,6 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Deflector_Beam\MM0370628.ipt|Tube|manhensesi|not_found|00|3/7/2012 12:00:00 AM|MM0370628|S235JRG2|C.K|87936.9294984382|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|TUBE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|Rd 219,1 x 2416 DIN EN 10219-2|not_found|not_found|not_found|Rd 219,1 x 2416 DIN EN 10219-2|not_found|RESTRICTED|2019-05-06|not_found|01|135 - Mining Screens - Global|EA|Rohr D219,1x8x2116|not_found|not_found|87,9 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Deflector_Protection\AX00-1000173981.ipt|AX00-1000173981|manhensesi|not_found|Revision Number doest not exist|5/15/2019 12:00:00 AM|AX00-1000173981|Hardox 450|manhensesi|23251.6102498986|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|WEAR PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|825 x 420 x 10|not_found|not_found|not_found|825 x 420 x 10|not_found|RESTRICTED|2019-05-15|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|23,3 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Feed_Box\AX00-100016157.ipt|Ground_Plate|manhensesi|not_found|Revision Number doest not exist|3/2/2012 12:00:00 AM|AX00-100016157|S235JRG2|MANENGINMA|335490.048390698|TotalMass doest not exist|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|2100 x 1710 x 12|not_found|not_found|not_found|2100 x 1710 x 12|not_found|RESTRICTED|2019-05-14|not_found|02|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|337,1 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Feed_Box\MM0370633.ipt|MM0370633|MANENGINMA|not_found|Revision Number doest not exist|3/2/2012 12:00:00 AM|MM0370633|S235J2|MANENGINMA|216372.093934035|TotalMass doest not exist|M38140 - Standard Screen and Vibrating Spares|MA - METAL FABRICATION - CUT & MACHINED PARTS|YHAM - DESIGN MATERIAL|BENT PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|TITLE3 doest not exist|not_found|not_found|not_found|TECHDESC doest not exist|not_found|RESTRICTED|2012-03-02|not_found|01|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|216,372 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\100\MM0370689.ipt|Plate|MANENGINMA|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0370689|S235JRG2|MANENGINMA|13673.2253342256|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|not_found|not_found|295 x 200 x 30|not_found|not_found|not_found|295 x 200 x 30|not_found|RESTRICTED|2012-03-21|not_found|01|135 - Mining Screens - Global|not_found|Description doest not exist|not_found|not_found|13,673 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\100\MM0370720.ipt|Plate|MANENGINMA|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|MM0370720|S235JRG2|MANENGINMA|19328.781667782|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|not_found|not_found|370 x 225 x 30|not_found|not_found|not_found|370 x 225 x 30|not_found|RESTRICTED|2012-03-21|not_found|01|135 - Mining Screens - Global|EA|Description doest not exist|not_found|not_found|19,329 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\125 3degree\AX00-100040620.ipt|AX00-100016343|MDIR\manhensesi|not_found|Revision Number doest not exist|5/8/2019 12:00:00 AM|AX00-100040620|Hardox 500|manhensesi|33111.036|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|595 x 354 x 20|not_found|not_found|not_found|595 x 354 x 20|not_found|RESTRICTED|4/1/2021 11:38:12 AM|not_found|01|135 - Mining Screens - Global|mm|Description doest not exist|not_found|not_found|33,111 kg
C:\Temp\Test02_versionUpgrad\Mannheim\LH-1G\LH2148-1G\Grizzly Bars\150\Copy of MM0383143.ipt|Plate|manhensesi|not_found|Revision Number doest not exist|3/21/2012 12:00:00 AM|Copy of MM0383143|S235JRG2|MANENGINMA|27581.9506684512|not_found|M38140 - Standard Screen and Vibrating Spares|EG - FEEDERS & SCREENS|YHAM - DESIGN MATERIAL|PLATE|not_found|not_found|Z273 - MULTIFLO|TITLE1 doest not exist|not_found|595 x 200 x 30|not_found|not_found|not_found|595 x 200 x 30|not_found|RESTRICTED|2019-05-08|not_found|01|135 - Mining Screens - Global|EA|Plate|not_found|not_found|27,6 kg
